Designator,Mid X,Mid Y,Rotation,Layer
R45,-1.835001,31.699997,0.0,top
R46,-1.9,2.199999,0.0,top
R47,-1.810001,16.999996,180.0,top
R48,4.6,10.999999,0.0,top
R49,4.689999,25.799997,0.0,top
R5,-18.35,52.5125,270.0,top
R50,4.589999,40.549997,0.0,top
R51,-18.26,-17.950005,90.0,top
R52,-18.26,-14.537505,270.0,top
R53,-16.31,-17.975005,90.0,top
R54,-16.31,-14.537505,270.0,top
R55,-14.360001,-17.950005,90.0,top
R56,-14.360001,-14.537505,270.0,top
R57,-22.735001,31.799995,0.0,top
R58,-22.8,2.299997,0.0,top
R59,-22.710001,17.099994,180.0,top
R6,-37.575,-50.075,90.0,top
R60,-16.3,11.099997,0.0,top
R61,-16.210001,25.899995,0.0,top
R62,-16.310001,40.649995,0.0,top
R63,-46.8213,-17.420163,90.0,top
R64,-46.8213,-2.757663,90.0,top
R65,-46.9713,11.979837,90.0,top
R66,-47.068699,26.592335,90.0,top
R67,-46.968699,41.179835,90.0,top
R68,-46.768699,56.079835,90.0,top
R69,41.0125,-64.35,180.0,top
R7,-27.825,-38.825,0.0,top
R70,-25.55,-59.682001,90.0,top
R71,-23.092999,-59.657001,90.0,top
R72,-21.025,-59.657001,90.0,top
R73,-17.392999,-59.544501,90.0,top
R74,-15.392999,-59.557001,90.0,top
R75,-10.975999,-59.544501,90.0,top
R76,-27.517999,-59.682001,90.0,top
R77,-13.025999,-59.544501,90.0,top
R78,-0.7125,-51.575,0.0,top
R79,3.05,-51.525,0.0,top
R8,-27.825,-37.825,0.0,top
R80,6.85,-51.525,0.0,top
R81,-4.3625,-51.575,0.0,top
R82,14.25,-51.475,0.0,top
R83,-44.9,-55.8875,270.0,top
R84,-30.8,-32.9,180.0,top
R85,10.6,-51.525,0.0,top
R86,25.1125,-57.55,0.0,top
R87,28.8,-58.45,0.0,top
R88,32.5,-59.35,0.0,top
R89,36.15,-60.25,0.0,top
R9,17.1875,59.05,180.0,top
R90,39.8,-61.15,0.0,top
R91,43.5,-62.0,0.0,top
R_ESR1,2.25,53.75,180.0,top
R_ESR2,38.35,53.65,180.0,top
SW1,-43.825,-47.625,0.0,top
SW2,-5.425,-28.1,180.0,top
U1,-19.025,-38.825,90.0,top
U10,26.705,-13.449999,90.0,top
U11,36.425,-13.484999,90.0,top
U12,26.755,4.450001,90.0,top
U13,36.475,4.415001,90.0,top
U14,26.755,22.350001,90.0,top
U15,36.475,22.315001,90.0,top
U16,26.755,40.250001,90.0,top
U17,36.475,40.215001,90.0,top
U18,5.194999,-6.400003,90.0,top
U19,2.745,5.725749,0.0,top
U2,-36.675,-27.325,180.0,top
U20,2.844999,20.474247,0.0,top
U21,2.834999,35.174247,0.0,top
U22,-15.705001,-6.300005,90.0,top
U23,-18.155,5.825747,0.0,top
U24,-18.055001,20.574245,0.0,top
U25,-18.065001,35.274245,0.0,top
U26,-23.727999,-65.507,90.0,top
U27,-12.137999,-65.457,90.0,top
U28,0.0675,-57.425,90.0,top
U29,11.295,-57.45,90.0,top
U3,-31.87,-45.825,0.0,top
U4,26.655,-49.249999,90.0,top
U5,36.375,-49.285,90.0,top
U6,31.32745,56.245,0.0,top
U7,-4.62255,56.755,0.0,top
U8,26.705,-31.349999,90.0,top
U9,36.425,-31.384999,90.0,top
Y1,-5.025,-38.825,90.0,top
